len buff: 161
file_size: 161
len scene: 161
inter->state: 1
    inter position
inter->position.x: 2499.971680
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 499.994324
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 499.994324
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2494.300293
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 498.860077
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 498.860077
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2488.628906
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 497.725800
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 497.725800
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2482.957764
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 496.591553
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 496.591553
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2477.286621
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 495.457306
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 495.457306
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2471.615234
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 494.323029
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 494.323029
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2465.943848
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 493.188782
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 493.188782
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2460.272705
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 492.054535
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 492.054535
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2454.601562
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 490.920288
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 490.920288
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
inter->state: 1
    inter position
inter->position.x: 2448.930176
inter->position.y: 2499.971680
inter->position.z: 5.000000
    ray origin
ray.origin.x: 0.000000
ray.origin.y: 0.000000
ray.origin.z: 0.000000
    ray direction
ray.direction.x: 489.786011
ray.direction.y: 499.994324
ray.direction.z: 1.000000
    ray pixel center
ray.pixel_center.x: 489.786011
ray.pixel_center.y: 499.994324
ray.pixel_center.z: 1.000000
    element

***PLANE***
pointer: 0x103101360
element->identifier: pl
element->position.x: 0.000000
element->position.y: 0.000000
element->position.z: 5.000000
element->n_vector.x: 0.000000
element->n_vector.y: 0.000000
element->n_vector.z: 1.000000
element->color.r: 190
element->color.g: 190
element->color.b: 190
OUT FT_EXECUTE
**ENTRO EN FT_FREE_SCENE**
**SALGO DE FT_FREE_SCENE**
